statisticName,value,count,date_time
HI2_SENT_LEMF,684,17,2025-02-05T13:17:42
HI3_SENT_LEMF,239193,13,2025-02-05T13:17:42
HI2_SENT_NOT_LEMF,684,1124,2025-02-05T13:17:42
HI3_SENT_NOT_LEMF,239198,333,2025-02-05T13:17:42
X2_DEDUPLICATED_CIMS,1353,1653,2025-02-05T13:17:42
X3_DEDUPLICATED_CIMS,165676,480,2025-02-05T13:17:42
X2_RECEIVED_CIMS,1042,4077,2025-02-05T13:17:42
X2_RECEIVED_5GC,221,766,2025-02-05T13:17:42
X3_RECEIVED_CIMS,90437,2146,2025-02-05T13:17:42
X3_RECEIVED_5GC,257436,171,2025-02-05T13:17:42
HI2_SENT,1368,1141,2025-02-05T13:17:42
HI3_SENT,478391,346,2025-02-05T13:17:42
X2_RECEIVED,1263,4843,2025-02-05T13:17:42
X3_RECEIVED,347873,2317,2025-02-05T13:17:42
X2_RECEIVED_MME_5GC,15,276,2025-02-05T13:17:42
X2_RECEIVED_SMF_5GC,198,425,2025-02-05T13:17:42
X3_RECEIVED_UPF_5GC,257436,171,2025-02-05T13:17:42
svc-catania-amf-x2-receiver-1-68fj4,1,9,2025-02-05T13:17:42
svc-catania-amf-x2-receiver-1-6d7xb,7,50,2025-02-05T13:17:42
svc-catania-amf-x2-receiver-1-l25xm,0,6,2025-02-05T13:17:42
svc-catania-cims-x2-receiver-2-ksqtz,434,1400,2025-02-05T13:17:42
svc-catania-cims-x2-receiver-2-kz9jd,170,1230,2025-02-05T13:17:42
svc-catania-cims-x2-receiver-2-mclh6,438,1447,2025-02-05T13:17:42
svc-catania-cims-x3-receiver-1-5xqh7,7062,306,2025-02-05T13:17:42
svc-catania-cims-x3-receiver-1-b9vsb,38000,429,2025-02-05T13:17:42
svc-catania-cims-x3-receiver-1-d6t6x,12287,412,2025-02-05T13:17:42
svc-catania-cims-x3-receiver-1-fsxwz,5848,378,2025-02-05T13:17:42
