statisticName,value,count,date_time
HI2_SENT_LEMF,607,17,2025-02-05T13:12:21
HI3_SENT_LEMF,255727,13,2025-02-05T13:12:21
HI2_SENT_NOT_LEMF,607,1120,2025-02-05T13:12:21
HI3_SENT_NOT_LEMF,255828,332,2025-02-05T13:12:21
X2_DEDUPLICATED_CIMS,452,1649,2025-02-05T13:12:21
X3_DEDUPLICATED_CIMS,62918,480,2025-02-05T13:12:21
X2_RECEIVED_CIMS,460,4072,2025-02-05T13:12:21
X2_RECEIVED_5GC,324,763,2025-02-05T13:12:21
X3_RECEIVED_CIMS,82214,2146,2025-02-05T13:12:21
X3_RECEIVED_5GC,436609,170,2025-02-05T13:12:21
HI2_SENT,1214,1137,2025-02-05T13:12:21
HI3_SENT,511555,345,2025-02-05T13:12:21
X2_RECEIVED,784,4835,2025-02-05T13:12:21
X3_RECEIVED,518823,2316,2025-02-05T13:12:21
X2_RECEIVED_MME_5GC,19,276,2025-02-05T13:12:21
X2_RECEIVED_SMF_5GC,299,422,2025-02-05T13:12:21
X3_RECEIVED_UPF_5GC,436609,170,2025-02-05T13:12:21
svc-catania-amf-x2-receiver-1-68fj4,2,9,2025-02-05T13:12:21
svc-catania-amf-x2-receiver-1-6d7xb,4,50,2025-02-05T13:12:21
svc-catania-amf-x2-receiver-1-l25xm,0,6,2025-02-05T13:12:21
svc-catania-cims-x2-receiver-2-ksqtz,0,1399,2025-02-05T13:12:21
svc-catania-cims-x2-receiver-2-kz9jd,176,1228,2025-02-05T13:12:21
svc-catania-cims-x2-receiver-2-mclh6,284,1445,2025-02-05T13:12:21
svc-catania-cims-x3-receiver-1-5xqh7,0,306,2025-02-05T13:12:21
svc-catania-cims-x3-receiver-1-b9vsb,46530,429,2025-02-05T13:12:21
svc-catania-cims-x3-receiver-1-d6t6x,10490,412,2025-02-05T13:12:21
svc-catania-cims-x3-receiver-1-fsxwz,0,378,2025-02-05T13:12:21
svc-catania-cims-x3-receiver-1-n94lk,21276,422,2025-02-05T13:12:21
svc-catania-cims-x3-receiver-1-pstrw,3918,199,2025-02-05T13:12:21
svc-catania-delivery-function-0,1240104,1494,2025-02-05T13:12:21
svc-catania-handover-manager-0,63370,2129,2025-02-05T13:12:21
svc-catania-mme-x2-receiver-1-85ddf,16,190,2025-02-05T13:12:21
