statisticName,value,count,date_time
HI2_SENT_LEMF,569,17,2025-02-05T13:26:15
HI3_SENT_LEMF,341492,13,2025-02-05T13:26:15
HI2_SENT_NOT_LEMF,569,1129,2025-02-05T13:26:15
HI3_SENT_NOT_LEMF,341492,333,2025-02-05T13:26:15
X2_DEDUPLICATED_CIMS,558,1656,2025-02-05T13:26:15
X3_DEDUPLICATED_CIMS,70846,482,2025-02-05T13:26:15
X2_RECEIVED_CIMS,707,4088,2025-02-05T13:26:15
X2_RECEIVED_5GC,314,770,2025-02-05T13:26:15
X3_RECEIVED_CIMS,103629,2148,2025-02-05T13:26:15
X3_RECEIVED_5GC,88765,171,2025-02-05T13:26:15
HI2_SENT,1138,1146,2025-02-05T13:26:15
HI3_SENT,682984,346,2025-02-05T13:26:15
X2_RECEIVED,1021,4858,2025-02-05T13:26:15
X3_RECEIVED,192394,2319,2025-02-05T13:26:15
X2_RECEIVED_MME_5GC,12,278,2025-02-05T13:26:15
X2_RECEIVED_SMF_5GC,295,427,2025-02-05T13:26:15
X3_RECEIVED_UPF_5GC,88765,171,2025-02-05T13:26:15
svc-catania-amf-x2-receiver-1-68fj4,1,9,2025-02-05T13:26:15
svc-catania-amf-x2-receiver-1-6d7xb,5,50,2025-02-05T13:26:15
svc-catania-amf-x2-receiver-1-l25xm,1,6,2025-02-05T13:26:15
svc-catania-cims-x2-receiver-2-ksqtz,145,1404,2025-02-05T13:26:15
svc-catania-cims-x2-receiver-2-kz9jd,173,1235,2025-02-05T13:26:15
svc-catania-cims-x2-receiver-2-mclh6,389,1449,2025-02-05T13:26:15
svc-catania-cims-x3-receiver-1-5xqh7,0,306,2025-02-05T13:26:15
svc-catania-cims-x3-receiver-1-b9vsb,12042,429,2025-02-05T13:26:15
svc-catania-cims-x3-receiver-1-d6t6x,25430,412,2025-02-05T13:26:15
svc-catania-cims-x3-receiver-1-fsxwz,6082,378,2025-02-05T13:26:15
svc-catania-cims-x3-receiver-1-n94lk,60075,424,2025-02-05T13:26:15
svc-catania-cims-x3-receiver-1-pstrw,0,199,2025-02-05T13:26:15
svc-catania-delivery-function-0,861431,1504,2025-02-05T13:26:15
svc-catania-handover-manager-0,71404,2138,2025-02-05T13:26:15
svc-catania-mme-x2-receiver-1-85ddf,9,191,2025-02-05T13:26:15
svc-catania-mme-x2-receiver-1-mzgcn,2,36,2025-02-05T13:26:15
svc-catania-mme-x2-receiver-1-tfmw7,1,51,2025-02-05T13:26:15
svc-catania-smf-x2-receiver-1-8rnlk,55,116,2025-02-05T13:26:15
svc-catania-smf-x2-receiver-1-9hbd8,137,191,2025-02-05T13:26:15
svc-catania-smf-x2-receiver-1-jl48r,103,120,2025-02-05T13:26:15
svc-catania-upf-x3-receiver-1-5rh6d,60232,79,2025-02-05T13:26:15
svc-catania-upf-x3-receiver-1-dhxfg,16110,60,2025-02-05T13:26:15
svc-catania-upf-x3-receiver-1-md9g2,12423,32,2025-02-05T13:26:15
HI2_PDU_BUFFERED_PER_LEMF_AFP_PRIMARY,0,1,2025-02-05T13:26:15
HI2_PDU_BUFFERED_PER_LEMF_NSWPOL_PHQ,0,1,2025-02-05T13:26:15
HI2_PDU_BUFFERED_PER_LEMF_WAPOL_PRIMARY,-1,1,2025-02-05T13:26:15
HI3_PDU_BUFFERED_PER_LEMF_ACIC_PRIMARY,0,1,2025-02-05T13:26:15
HI3_PDU_BUFFERED_PER_LEMF_AFP_PRIMARY,185630,1,2025-02-05T13:26:15
HI3_PDU_BUFFERED_PER_LEMF_LA_ACT,-1,1,2025-02-05T13:26:15
HI3_PDU_BUFFERED_PER_LEMF_NSWCC_ATLECC,-2,1,2025-02-05T13:26:15
