statisticName,value,count,date_time
HI2_SENT_LEMF,827,17,2025-02-05T13:24:05
HI3_SENT_LEMF,347460,13,2025-02-05T13:24:05
HI2_SENT_NOT_LEMF,827,1127,2025-02-05T13:24:05
HI3_SENT_NOT_LEMF,347460,333,2025-02-05T13:24:05
X2_DEDUPLICATED_CIMS,785,1654,2025-02-05T13:24:05
X3_DEDUPLICATED_CIMS,91889,480,2025-02-05T13:24:05
X2_RECEIVED_CIMS,1032,4086,2025-02-05T13:24:05
X2_RECEIVED_5GC,545,769,2025-02-05T13:24:05
X3_RECEIVED_CIMS,94724,2146,2025-02-05T13:24:05
X3_RECEIVED_5GC,107011,171,2025-02-05T13:24:05
HI2_SENT,1654,1144,2025-02-05T13:24:05
HI3_SENT,694920,346,2025-02-05T13:24:05
X2_RECEIVED,1577,4855,2025-02-05T13:24:05
X3_RECEIVED,201735,2317,2025-02-05T13:24:05
X2_RECEIVED_MME_5GC,22,277,2025-02-05T13:24:05
X2_RECEIVED_SMF_5GC,502,427,2025-02-05T13:24:05
X3_RECEIVED_UPF_5GC,107011,171,2025-02-05T13:24:05
svc-catania-amf-x2-receiver-1-68fj4,3,9,2025-02-05T13:24:05
svc-catania-amf-x2-receiver-1-6d7xb,18,50,2025-02-05T13:24:05
svc-catania-amf-x2-receiver-1-l25xm,0,6,2025-02-05T13:24:05
svc-catania-cims-x2-receiver-2-ksqtz,257,1402,2025-02-05T13:24:05
svc-catania-cims-x2-receiver-2-kz9jd,222,1235,2025-02-05T13:24:05
svc-catania-cims-x2-receiver-2-mclh6,553,1449,2025-02-05T13:24:05
svc-catania-cims-x3-receiver-1-5xqh7,673,306,2025-02-05T13:24:05
svc-catania-cims-x3-receiver-1-b9vsb,23928,429,2025-02-05T13:24:05
svc-catania-cims-x3-receiver-1-d6t6x,29404,412,2025-02-05T13:24:05
svc-catania-cims-x3-receiver-1-fsxwz,8163,378,2025-02-05T13:24:05
svc-catania-cims-x3-receiver-1-n94lk,23666,422,2025-02-05T13:24:05
svc-catania-cims-x3-receiver-1-pstrw,8890,199,2025-02-05T13:24:05
svc-catania-delivery-function-0,1020981,1502,2025-02-05T13:24:05
svc-catania-handover-manager-0,92674,2134,2025-02-05T13:24:05
svc-catania-mme-x2-receiver-1-85ddf,18,190,2025-02-05T13:24:05
svc-catania-mme-x2-receiver-1-mzgcn,4,36,2025-02-05T13:24:05
svc-catania-mme-x2-receiver-1-tfmw7,0,51,2025-02-05T13:24:05
svc-catania-smf-x2-receiver-1-8rnlk,61,116,2025-02-05T13:24:05
svc-catania-smf-x2-receiver-1-9hbd8,340,191,2025-02-05T13:24:05
svc-catania-smf-x2-receiver-1-jl48r,101,120,2025-02-05T13:24:05
svc-catania-upf-x3-receiver-1-5rh6d,84693,79,2025-02-05T13:24:05
svc-catania-upf-x3-receiver-1-dhxfg,13644,60,2025-02-05T13:24:05
svc-catania-upf-x3-receiver-1-md9g2,8674,32,2025-02-05T13:24:05
