statisticName,value,count,date_time
HI2_SENT_LEMF,504,17,2025-02-05T13:14:27
HI3_SENT_LEMF,431119,13,2025-02-05T13:14:27
HI2_SENT_NOT_LEMF,504,1122,2025-02-05T13:14:27
HI3_SENT_NOT_LEMF,416665,332,2025-02-05T13:14:27
X2_DEDUPLICATED_CIMS,705,1651,2025-02-05T13:14:27
X3_DEDUPLICATED_CIMS,75543,480,2025-02-05T13:14:27
X2_RECEIVED_CIMS,810,4075,2025-02-05T13:14:27
X2_RECEIVED_5GC,199,763,2025-02-05T13:14:27
X3_RECEIVED_CIMS,76494,2146,2025-02-05T13:14:27
X3_RECEIVED_5GC,221346,170,2025-02-05T13:14:27
HI2_SENT,1008,1139,2025-02-05T13:14:27
HI3_SENT,847784,345,2025-02-05T13:14:27
X2_RECEIVED,1009,4838,2025-02-05T13:14:27
X3_RECEIVED,297840,2316,2025-02-05T13:14:27
X2_RECEIVED_MME_5GC,20,276,2025-02-05T13:14:27
X2_RECEIVED_SMF_5GC,167,422,2025-02-05T13:14:27
X3_RECEIVED_UPF_5GC,221346,170,2025-02-05T13:14:27
svc-catania-amf-x2-receiver-1-68fj4,1,9,2025-02-05T13:14:27
svc-catania-amf-x2-receiver-1-6d7xb,9,50,2025-02-05T13:14:27
svc-catania-amf-x2-receiver-1-l25xm,2,6,2025-02-05T13:14:27
svc-catania-cims-x2-receiver-2-ksqtz,136,1400,2025-02-05T13:14:27
svc-catania-cims-x2-receiver-2-kz9jd,190,1230,2025-02-05T13:14:27
svc-catania-cims-x2-receiver-2-mclh6,484,1445,2025-02-05T13:14:27
svc-catania-cims-x3-receiver-1-5xqh7,0,306,2025-02-05T13:14:27
svc-catania-cims-x3-receiver-1-b9vsb,38328,429,2025-02-05T13:14:27
svc-catania-cims-x3-receiver-1-d6t6x,9594,412,2025-02-05T13:14:27
svc-catania-cims-x3-receiver-1-fsxwz,4722,378,2025-02-05T13:14:27
svc-catania-cims-x3-receiver-1-n94lk,20299,422,2025-02-05T13:14:27
svc-catania-cims-x3-receiver-1-pstrw,3551,199,2025-02-05T13:14:27
svc-catania-delivery-function-0,884980,1496,2025-02-05T13:14:27
svc-catania-handover-manager-0,76248,2131,2025-02-05T13:14:27
svc-catania-mme-x2-receiver-1-85ddf,13,190,2025-02-05T13:14:27
svc-catania-mme-x2-receiver-1-mzgcn,1,36,2025-02-05T13:14:27
svc-catania-mme-x2-receiver-1-tfmw7,6,50,2025-02-05T13:14:27
svc-catania-smf-x2-receiver-1-8rnlk,40,116,2025-02-05T13:14:27
svc-catania-smf-x2-receiver-1-9hbd8,95,190,2025-02-05T13:14:27
svc-catania-smf-x2-receiver-1-jl48r,32,116,2025-02-05T13:14:27
svc-catania-upf-x3-receiver-1-5rh6d,91577,79,2025-02-05T13:14:27
svc-catania-upf-x3-receiver-1-dhxfg,103660,60,2025-02-05T13:14:27
svc-catania-upf-x3-receiver-1-md9g2,26109,31,2025-02-05T13:14:27
NEW_INDEX_COUNT,6,0,2025-02-05T13:14:27
RESET_INDEX_COUNT,6,0,2025-02-05T13:14:27
