statisticName,value,count,date_time
HI2_SENT_LEMF,665,17,2025-02-05T13:21:55
HI3_SENT_LEMF,300666,13,2025-02-05T13:21:55
HI2_SENT_NOT_LEMF,665,1127,2025-02-05T13:21:55
HI3_SENT_NOT_LEMF,300669,333,2025-02-05T13:21:55
X2_DEDUPLICATED_CIMS,497,1654,2025-02-05T13:21:55
X3_DEDUPLICATED_CIMS,77117,480,2025-02-05T13:21:55
X2_RECEIVED_CIMS,697,4084,2025-02-05T13:21:55
X2_RECEIVED_5GC,292,769,2025-02-05T13:21:55
X3_RECEIVED_CIMS,89364,2146,2025-02-05T13:21:55
X3_RECEIVED_5GC,119482,171,2025-02-05T13:21:55
HI2_SENT,1330,1144,2025-02-05T13:21:55
HI3_SENT,601335,346,2025-02-05T13:21:55
X2_RECEIVED,989,4853,2025-02-05T13:21:55
X3_RECEIVED,208846,2317,2025-02-05T13:21:55
X2_RECEIVED_MME_5GC,26,277,2025-02-05T13:21:55
X2_RECEIVED_SMF_5GC,254,427,2025-02-05T13:21:55
X3_RECEIVED_UPF_5GC,119482,171,2025-02-05T13:21:55
svc-catania-amf-x2-receiver-1-68fj4,0,9,2025-02-05T13:21:55
svc-catania-amf-x2-receiver-1-6d7xb,12,50,2025-02-05T13:21:55
svc-catania-amf-x2-receiver-1-l25xm,0,6,2025-02-05T13:21:55
svc-catania-cims-x2-receiver-2-ksqtz,114,1401,2025-02-05T13:21:55
svc-catania-cims-x2-receiver-2-kz9jd,228,1234,2025-02-05T13:21:55
svc-catania-cims-x2-receiver-2-mclh6,355,1449,2025-02-05T13:21:55
svc-catania-cims-x3-receiver-1-5xqh7,17464,306,2025-02-05T13:21:55
svc-catania-cims-x3-receiver-1-b9vsb,18504,429,2025-02-05T13:21:55
svc-catania-cims-x3-receiver-1-d6t6x,28592,412,2025-02-05T13:21:55
svc-catania-cims-x3-receiver-1-fsxwz,6788,378,2025-02-05T13:21:55
svc-catania-cims-x3-receiver-1-n94lk,15192,422,2025-02-05T13:21:55
svc-catania-cims-x3-receiver-1-pstrw,2824,199,2025-02-05T13:21:55
svc-catania-delivery-function-0,1073349,1502,2025-02-05T13:21:55
svc-catania-handover-manager-0,77614,2134,2025-02-05T13:21:55
svc-catania-mme-x2-receiver-1-85ddf,24,190,2025-02-05T13:21:55
svc-catania-mme-x2-receiver-1-mzgcn,2,36,2025-02-05T13:21:55
svc-catania-mme-x2-receiver-1-tfmw7,0,51,2025-02-05T13:21:55
svc-catania-smf-x2-receiver-1-8rnlk,110,116,2025-02-05T13:21:55
svc-catania-smf-x2-receiver-1-9hbd8,81,191,2025-02-05T13:21:55
svc-catania-smf-x2-receiver-1-jl48r,63,120,2025-02-05T13:21:55
svc-catania-upf-x3-receiver-1-5rh6d,97896,79,2025-02-05T13:21:55
svc-catania-upf-x3-receiver-1-dhxfg,15337,60,2025-02-05T13:21:55
svc-catania-upf-x3-receiver-1-md9g2,6249,32,2025-02-05T13:21:55
HI2_PDU_BUFFERED_PER_LEMF_AFP_PRIMARY,0,1,2025-02-05T13:21:55
HI2_PDU_BUFFERED_PER_LEMF_NSWPOL_PHQ,0,1,2025-02-05T13:21:55
HI2_PDU_BUFFERED_PER_LEMF_WAPOL_PRIMARY,-1,1,2025-02-05T13:21:55
