statisticName,value,count,date_time
HI2_SENT_LEMF,642,17,2025-02-05T13:25:08
HI3_SENT_LEMF,320770,13,2025-02-05T13:25:08
HI2_SENT_NOT_LEMF,642,1128,2025-02-05T13:25:08
HI3_SENT_NOT_LEMF,320774,333,2025-02-05T13:25:08
X2_DEDUPLICATED_CIMS,531,1654,2025-02-05T13:25:08
X3_DEDUPLICATED_CIMS,82086,482,2025-02-05T13:25:08
X2_RECEIVED_CIMS,915,4086,2025-02-05T13:25:08
X2_RECEIVED_5GC,271,769,2025-02-05T13:25:08
X3_RECEIVED_CIMS,81284,2146,2025-02-05T13:25:08
X3_RECEIVED_5GC,111897,171,2025-02-05T13:25:08
HI2_SENT,1284,1145,2025-02-05T13:25:08
HI3_SENT,641544,346,2025-02-05T13:25:08
X2_RECEIVED,1186,4855,2025-02-05T13:25:08
X3_RECEIVED,193181,2317,2025-02-05T13:25:08
X2_RECEIVED_MME_5GC,16,277,2025-02-05T13:25:08
X2_RECEIVED_SMF_5GC,246,427,2025-02-05T13:25:08
X3_RECEIVED_UPF_5GC,111897,171,2025-02-05T13:25:08
svc-catania-amf-x2-receiver-1-68fj4,0,9,2025-02-05T13:25:08
svc-catania-amf-x2-receiver-1-6d7xb,9,50,2025-02-05T13:25:08
svc-catania-amf-x2-receiver-1-l25xm,0,6,2025-02-05T13:25:08
svc-catania-cims-x2-receiver-2-ksqtz,171,1402,2025-02-05T13:25:08
svc-catania-cims-x2-receiver-2-kz9jd,523,1235,2025-02-05T13:25:08
svc-catania-cims-x2-receiver-2-mclh6,221,1449,2025-02-05T13:25:08
svc-catania-cims-x3-receiver-1-5xqh7,1270,306,2025-02-05T13:25:08
svc-catania-cims-x3-receiver-1-b9vsb,12062,429,2025-02-05T13:25:08
svc-catania-cims-x3-receiver-1-d6t6x,24084,412,2025-02-05T13:25:08
svc-catania-cims-x3-receiver-1-fsxwz,7435,378,2025-02-05T13:25:08
svc-catania-cims-x3-receiver-1-n94lk,30622,422,2025-02-05T13:25:08
svc-catania-cims-x3-receiver-1-pstrw,5811,199,2025-02-05T13:25:08
svc-catania-delivery-function-0,896109,1503,2025-02-05T13:25:08
svc-catania-handover-manager-0,82617,2136,2025-02-05T13:25:08
svc-catania-mme-x2-receiver-1-85ddf,12,190,2025-02-05T13:25:08
svc-catania-mme-x2-receiver-1-mzgcn,3,36,2025-02-05T13:25:08
svc-catania-mme-x2-receiver-1-tfmw7,1,51,2025-02-05T13:25:08
svc-catania-smf-x2-receiver-1-8rnlk,53,116,2025-02-05T13:25:08
svc-catania-smf-x2-receiver-1-9hbd8,138,191,2025-02-05T13:25:08
svc-catania-smf-x2-receiver-1-jl48r,55,120,2025-02-05T13:25:08
svc-catania-upf-x3-receiver-1-5rh6d,89044,79,2025-02-05T13:25:08
svc-catania-upf-x3-receiver-1-dhxfg,14327,60,2025-02-05T13:25:08
svc-catania-upf-x3-receiver-1-md9g2,8526,32,2025-02-05T13:25:08
HI2_PDU_BUFFERED_PER_LEMF_AFP_PRIMARY,0,1,2025-02-05T13:25:08
HI2_PDU_BUFFERED_PER_LEMF_NSWPOL_PHQ,0,1,2025-02-05T13:25:08
HI2_PDU_BUFFERED_PER_LEMF_WAPOL_PRIMARY,-1,1,2025-02-05T13:25:08
HI3_PDU_BUFFERED_PER_LEMF_ACIC_PRIMARY,0,1,2025-02-05T13:25:08
HI3_PDU_BUFFERED_PER_LEMF_AFP_PRIMARY,261602,1,2025-02-05T13:25:08
HI3_PDU_BUFFERED_PER_LEMF_LA_ACT,-1,1,2025-02-05T13:25:08
HI3_PDU_BUFFERED_PER_LEMF_NSWCC_ATLECC,-2,1,2025-02-05T13:25:08
HI3_PDU_BUFFERED_PER_LEMF_NSWLECC_PRIMARY,-2017,1,2025-02-05T13:25:08
HI3_PDU_BUFFERED_PER_LEMF_NSWPOL_PHQ,-1707,1,2025-02-05T13:25:08
HI3_PDU_BUFFERED_PER_LEMF_NSWPOL_SPC,-1725,1,2025-02-05T13:25:08
HI3_PDU_BUFFERED_PER_LEMF_SAPOL_PRIMARY,-928,1,2025-02-05T13:25:08
HI3_PDU_BUFFERED_PER_LEMF_WAPOL_PRIMARY,-1940,1,2025-02-05T13:25:08
HI2_PDU_SENT_PER_LEMF_ACIC_PRIMARY,18,1,2025-02-05T13:25:08
HI2_PDU_SENT_PER_LEMF_AFP_PRIMARY,64,1,2025-02-05T13:25:08
