statisticName,value,count,date_time
HI2_SENT_LEMF,747,17,2025-02-05T13:11:18
HI3_SENT_LEMF,243100,13,2025-02-05T13:11:18
HI2_SENT_NOT_LEMF,747,1120,2025-02-05T13:11:18
HI3_SENT_NOT_LEMF,243101,332,2025-02-05T13:11:18
X2_DEDUPLICATED_CIMS,765,1649,2025-02-05T13:11:18
X3_DEDUPLICATED_CIMS,77260,480,2025-02-05T13:11:18
X2_RECEIVED_CIMS,1141,4072,2025-02-05T13:11:18
X2_RECEIVED_5GC,276,763,2025-02-05T13:11:18
X3_RECEIVED_CIMS,74096,2144,2025-02-05T13:11:18
X3_RECEIVED_5GC,193432,170,2025-02-05T13:11:18
HI2_SENT,1494,1137,2025-02-05T13:11:18
HI3_SENT,486201,345,2025-02-05T13:11:18
X2_RECEIVED,1417,4835,2025-02-05T13:11:18
X3_RECEIVED,267528,2314,2025-02-05T13:11:18
X2_RECEIVED_MME_5GC,23,276,2025-02-05T13:11:18
X2_RECEIVED_SMF_5GC,249,422,2025-02-05T13:11:18
X3_RECEIVED_UPF_5GC,193432,170,2025-02-05T13:11:18
svc-catania-amf-x2-receiver-1-68fj4,0,9,2025-02-05T13:11:18
svc-catania-amf-x2-receiver-1-6d7xb,4,50,2025-02-05T13:11:18
svc-catania-amf-x2-receiver-1-l25xm,0,6,2025-02-05T13:11:18
svc-catania-cims-x2-receiver-2-ksqtz,415,1399,2025-02-05T13:11:18
svc-catania-cims-x2-receiver-2-kz9jd,200,1228,2025-02-05T13:11:18
svc-catania-cims-x2-receiver-2-mclh6,526,1445,2025-02-05T13:11:18
svc-catania-cims-x3-receiver-1-5xqh7,0,306,2025-02-05T13:11:18
svc-catania-cims-x3-receiver-1-b9vsb,40610,429,2025-02-05T13:11:18
svc-catania-cims-x3-receiver-1-d6t6x,9466,412,2025-02-05T13:11:18
svc-catania-cims-x3-receiver-1-fsxwz,1673,378,2025-02-05T13:11:18
svc-catania-cims-x3-receiver-1-n94lk,19118,422,2025-02-05T13:11:18
svc-catania-cims-x3-receiver-1-pstrw,3229,197,2025-02-05T13:11:18
svc-catania-delivery-function-0,1157240,1494,2025-02-05T13:11:18
svc-catania-handover-manager-0,78025,2129,2025-02-05T13:11:18
svc-catania-mme-x2-receiver-1-85ddf,16,190,2025-02-05T13:11:18
svc-catania-mme-x2-receiver-1-mzgcn,3,36,2025-02-05T13:11:18
svc-catania-mme-x2-receiver-1-tfmw7,4,50,2025-02-05T13:11:18
svc-catania-smf-x2-receiver-1-8rnlk,72,116,2025-02-05T13:11:18
svc-catania-smf-x2-receiver-1-9hbd8,137,190,2025-02-05T13:11:18
svc-catania-smf-x2-receiver-1-jl48r,40,116,2025-02-05T13:11:18
svc-catania-upf-x3-receiver-1-5rh6d,72053,79,2025-02-05T13:11:18
svc-catania-upf-x3-receiver-1-dhxfg,116421,60,2025-02-05T13:11:18
svc-catania-upf-x3-receiver-1-md9g2,4958,31,2025-02-05T13:11:18
HI2_PDU_BUFFERED_PER_LEMF_AFP_PRIMARY,0,1,2025-02-05T13:11:18
HI2_PDU_BUFFERED_PER_LEMF_NSWPOL_PHQ,0,1,2025-02-05T13:11:18
HI2_PDU_BUFFERED_PER_LEMF_WAPOL_PRIMARY,-1,1,2025-02-05T13:11:18
HI3_PDU_BUFFERED_PER_LEMF_ACIC_PRIMARY,0,1,2025-02-05T13:11:18
HI3_PDU_BUFFERED_PER_LEMF_AFP_PRIMARY,677866,1,2025-02-05T13:11:18
HI3_PDU_BUFFERED_PER_LEMF_LA_ACT,-1,1,2025-02-05T13:11:18
HI3_PDU_BUFFERED_PER_LEMF_NSWCC_ATLECC,-2,1,2025-02-05T13:11:18
HI3_PDU_BUFFERED_PER_LEMF_NSWLECC_PRIMARY,-2017,1,2025-02-05T13:11:18
HI3_PDU_BUFFERED_PER_LEMF_NSWPOL_PHQ,-1707,1,2025-02-05T13:11:18
HI3_PDU_BUFFERED_PER_LEMF_NSWPOL_SPC,-1725,1,2025-02-05T13:11:18
HI3_PDU_BUFFERED_PER_LEMF_SAPOL_PRIMARY,-928,1,2025-02-05T13:11:18
HI3_PDU_BUFFERED_PER_LEMF_WAPOL_PRIMARY,-1940,1,2025-02-05T13:11:18
NEW_INDEX_COUNT,0,0,2025-02-05T13:11:18
RESET_INDEX_COUNT,7,0,2025-02-05T13:11:18
