statisticName,value,count,date_time
HI2_SENT_LEMF,662,17,2025-02-05T13:15:34
HI3_SENT_LEMF,418464,13,2025-02-05T13:15:34
HI2_SENT_NOT_LEMF,662,1123,2025-02-05T13:15:34
HI3_SENT_NOT_LEMF,418460,333,2025-02-05T13:15:34
X2_DEDUPLICATED_CIMS,462,1653,2025-02-05T13:15:34
X3_DEDUPLICATED_CIMS,60175,480,2025-02-05T13:15:34
X2_RECEIVED_CIMS,672,4077,2025-02-05T13:15:34
X2_RECEIVED_5GC,247,764,2025-02-05T13:15:34
X3_RECEIVED_CIMS,118666,2146,2025-02-05T13:15:34
X3_RECEIVED_5GC,232145,171,2025-02-05T13:15:34
HI2_SENT,1324,1140,2025-02-05T13:15:34
HI3_SENT,836924,346,2025-02-05T13:15:34
X2_RECEIVED,919,4841,2025-02-05T13:15:34
X3_RECEIVED,350811,2317,2025-02-05T13:15:34
X2_RECEIVED_MME_5GC,25,276,2025-02-05T13:15:34
X2_RECEIVED_SMF_5GC,212,423,2025-02-05T13:15:34
X3_RECEIVED_UPF_5GC,232145,171,2025-02-05T13:15:34
svc-catania-amf-x2-receiver-1-68fj4,2,9,2025-02-05T13:15:34
svc-catania-amf-x2-receiver-1-6d7xb,8,50,2025-02-05T13:15:34
svc-catania-amf-x2-receiver-1-l25xm,0,6,2025-02-05T13:15:34
svc-catania-cims-x2-receiver-2-ksqtz,199,1400,2025-02-05T13:15:34
svc-catania-cims-x2-receiver-2-kz9jd,218,1230,2025-02-05T13:15:34
svc-catania-cims-x2-receiver-2-mclh6,255,1447,2025-02-05T13:15:34
svc-catania-cims-x3-receiver-1-5xqh7,13085,306,2025-02-05T13:15:34
svc-catania-cims-x3-receiver-1-b9vsb,67802,429,2025-02-05T13:15:34
svc-catania-cims-x3-receiver-1-d6t6x,10542,412,2025-02-05T13:15:34
svc-catania-cims-x3-receiver-1-fsxwz,5120,378,2025-02-05T13:15:34
svc-catania-cims-x3-receiver-1-n94lk,18680,422,2025-02-05T13:15:34
svc-catania-cims-x3-receiver-1-pstrw,3437,199,2025-02-05T13:15:34
svc-catania-delivery-function-0,1580103,1498,2025-02-05T13:15:34
svc-catania-handover-manager-0,60637,2133,2025-02-05T13:15:34
svc-catania-mme-x2-receiver-1-85ddf,19,190,2025-02-05T13:15:34
svc-catania-mme-x2-receiver-1-mzgcn,3,36,2025-02-05T13:15:34
svc-catania-mme-x2-receiver-1-tfmw7,3,50,2025-02-05T13:15:34
svc-catania-smf-x2-receiver-1-8rnlk,57,116,2025-02-05T13:15:34
svc-catania-smf-x2-receiver-1-9hbd8,121,190,2025-02-05T13:15:34
svc-catania-smf-x2-receiver-1-jl48r,34,117,2025-02-05T13:15:34
svc-catania-upf-x3-receiver-1-5rh6d,84275,79,2025-02-05T13:15:34
svc-catania-upf-x3-receiver-1-dhxfg,114361,60,2025-02-05T13:15:34
svc-catania-upf-x3-receiver-1-md9g2,33509,32,2025-02-05T13:15:34
HI2_PDU_BUFFERED_PER_LEMF_AFP_PRIMARY,0,1,2025-02-05T13:15:34
HI2_PDU_BUFFERED_PER_LEMF_NSWPOL_PHQ,0,1,2025-02-05T13:15:34
HI2_PDU_BUFFERED_PER_LEMF_WAPOL_PRIMARY,-1,1,2025-02-05T13:15:34
