statisticName,value,count,date_time
HI2_SENT_LEMF,656,17,2025-02-05T13:20:55
HI3_SENT_LEMF,361838,13,2025-02-05T13:20:55
HI2_SENT_NOT_LEMF,656,1126,2025-02-05T13:20:55
HI3_SENT_NOT_LEMF,361835,333,2025-02-05T13:20:55
X2_DEDUPLICATED_CIMS,687,1653,2025-02-05T13:20:55
X3_DEDUPLICATED_CIMS,89043,480,2025-02-05T13:20:55
X2_RECEIVED_CIMS,1264,4083,2025-02-05T13:20:55
X2_RECEIVED_5GC,298,769,2025-02-05T13:20:55
X3_RECEIVED_CIMS,100700,2146,2025-02-05T13:20:55
X3_RECEIVED_5GC,97046,171,2025-02-05T13:20:55
HI2_SENT,1312,1143,2025-02-05T13:20:55
HI3_SENT,723673,346,2025-02-05T13:20:55
X2_RECEIVED,1562,4852,2025-02-05T13:20:55
X3_RECEIVED,197746,2317,2025-02-05T13:20:55
X2_RECEIVED_MME_5GC,16,277,2025-02-05T13:20:55
X2_RECEIVED_SMF_5GC,264,427,2025-02-05T13:20:55
X3_RECEIVED_UPF_5GC,97046,171,2025-02-05T13:20:55
svc-catania-amf-x2-receiver-1-68fj4,2,9,2025-02-05T13:20:55
svc-catania-amf-x2-receiver-1-6d7xb,16,50,2025-02-05T13:20:55
svc-catania-amf-x2-receiver-1-l25xm,0,6,2025-02-05T13:20:55
svc-catania-cims-x2-receiver-2-ksqtz,244,1401,2025-02-05T13:20:55
svc-catania-cims-x2-receiver-2-kz9jd,200,1234,2025-02-05T13:20:55
svc-catania-cims-x2-receiver-2-mclh6,820,1448,2025-02-05T13:20:55
svc-catania-cims-x3-receiver-1-5xqh7,11492,306,2025-02-05T13:20:55
svc-catania-cims-x3-receiver-1-b9vsb,23838,429,2025-02-05T13:20:55
svc-catania-cims-x3-receiver-1-d6t6x,25880,412,2025-02-05T13:20:55
svc-catania-cims-x3-receiver-1-fsxwz,8456,378,2025-02-05T13:20:55
svc-catania-cims-x3-receiver-1-n94lk,27383,422,2025-02-05T13:20:55
svc-catania-cims-x3-receiver-1-pstrw,3651,199,2025-02-05T13:20:55
svc-catania-delivery-function-0,1257036,1501,2025-02-05T13:20:55
svc-catania-handover-manager-0,89730,2133,2025-02-05T13:20:55
svc-catania-mme-x2-receiver-1-85ddf,10,190,2025-02-05T13:20:55
svc-catania-mme-x2-receiver-1-mzgcn,4,36,2025-02-05T13:20:55
svc-catania-mme-x2-receiver-1-tfmw7,2,51,2025-02-05T13:20:55
svc-catania-smf-x2-receiver-1-8rnlk,76,116,2025-02-05T13:20:55
svc-catania-smf-x2-receiver-1-9hbd8,119,191,2025-02-05T13:20:55
svc-catania-smf-x2-receiver-1-jl48r,69,120,2025-02-05T13:20:55
svc-catania-upf-x3-receiver-1-5rh6d,61268,79,2025-02-05T13:20:55
svc-catania-upf-x3-receiver-1-dhxfg,12970,60,2025-02-05T13:20:55
svc-catania-upf-x3-receiver-1-md9g2,22808,32,2025-02-05T13:20:55
HI2_PDU_BUFFERED_PER_LEMF_AFP_PRIMARY,0,1,2025-02-05T13:20:55
HI2_PDU_BUFFERED_PER_LEMF_NSWPOL_PHQ,0,1,2025-02-05T13:20:55
HI2_PDU_BUFFERED_PER_LEMF_WAPOL_PRIMARY,-1,1,2025-02-05T13:20:55
HI3_PDU_BUFFERED_PER_LEMF_ACIC_PRIMARY,0,1,2025-02-05T13:20:55
HI3_PDU_BUFFERED_PER_LEMF_AFP_PRIMARY,540372,1,2025-02-05T13:20:55
