statisticName,value,count,date_time
HI2_SENT_LEMF,784,17,2025-02-05T13:19:52
HI3_SENT_LEMF,236833,13,2025-02-05T13:19:52
HI2_SENT_NOT_LEMF,784,1126,2025-02-05T13:19:52
HI3_SENT_NOT_LEMF,236833,333,2025-02-05T13:19:52
X2_DEDUPLICATED_CIMS,670,1653,2025-02-05T13:19:52
X3_DEDUPLICATED_CIMS,74229,480,2025-02-05T13:19:52
X2_RECEIVED_CIMS,900,4079,2025-02-05T13:19:52
X2_RECEIVED_5GC,285,767,2025-02-05T13:19:52
X3_RECEIVED_CIMS,94609,2146,2025-02-05T13:19:52
X3_RECEIVED_5GC,131324,171,2025-02-05T13:19:52
HI2_SENT,1568,1143,2025-02-05T13:19:52
HI3_SENT,473666,346,2025-02-05T13:19:52
X2_RECEIVED,1185,4846,2025-02-05T13:19:52
X3_RECEIVED,225933,2317,2025-02-05T13:19:52
X2_RECEIVED_MME_5GC,13,276,2025-02-05T13:19:52
X2_RECEIVED_SMF_5GC,259,426,2025-02-05T13:19:52
X3_RECEIVED_UPF_5GC,131324,171,2025-02-05T13:19:52
svc-catania-amf-x2-receiver-1-68fj4,1,9,2025-02-05T13:19:52
svc-catania-amf-x2-receiver-1-6d7xb,12,50,2025-02-05T13:19:52
svc-catania-amf-x2-receiver-1-l25xm,0,6,2025-02-05T13:19:52
svc-catania-cims-x2-receiver-2-ksqtz,285,1401,2025-02-05T13:19:52
svc-catania-cims-x2-receiver-2-kz9jd,212,1230,2025-02-05T13:19:52
svc-catania-cims-x2-receiver-2-mclh6,403,1448,2025-02-05T13:19:52
svc-catania-cims-x3-receiver-1-5xqh7,6984,306,2025-02-05T13:19:52
svc-catania-cims-x3-receiver-1-b9vsb,16728,429,2025-02-05T13:19:52
svc-catania-cims-x3-receiver-1-d6t6x,34412,412,2025-02-05T13:19:52
svc-catania-cims-x3-receiver-1-fsxwz,9697,378,2025-02-05T13:19:52
svc-catania-cims-x3-receiver-1-n94lk,23101,422,2025-02-05T13:19:52
svc-catania-cims-x3-receiver-1-pstrw,3687,199,2025-02-05T13:19:52
svc-catania-delivery-function-0,1078602,1501,2025-02-05T13:19:52
svc-catania-handover-manager-0,74899,2133,2025-02-05T13:19:52
svc-catania-mme-x2-receiver-1-85ddf,9,190,2025-02-05T13:19:52
svc-catania-mme-x2-receiver-1-mzgcn,3,36,2025-02-05T13:19:52
svc-catania-mme-x2-receiver-1-tfmw7,1,50,2025-02-05T13:19:52
svc-catania-smf-x2-receiver-1-8rnlk,64,116,2025-02-05T13:19:52
svc-catania-smf-x2-receiver-1-9hbd8,123,191,2025-02-05T13:19:52
svc-catania-smf-x2-receiver-1-jl48r,72,119,2025-02-05T13:19:52
svc-catania-upf-x3-receiver-1-5rh6d,60121,79,2025-02-05T13:19:52
svc-catania-upf-x3-receiver-1-dhxfg,68553,60,2025-02-05T13:19:52
svc-catania-upf-x3-receiver-1-md9g2,2650,32,2025-02-05T13:19:52
HI2_PDU_BUFFERED_PER_LEMF_AFP_PRIMARY,0,1,2025-02-05T13:19:52
HI2_PDU_BUFFERED_PER_LEMF_NSWPOL_PHQ,0,1,2025-02-05T13:19:52
HI2_PDU_BUFFERED_PER_LEMF_WAPOL_PRIMARY,-1,1,2025-02-05T13:19:52
HI3_PDU_BUFFERED_PER_LEMF_ACIC_PRIMARY,0,1,2025-02-05T13:19:52
