statisticName,value,count,date_time
HI2_SENT_LEMF,749,17,2025-02-05T13:13:27
HI3_SENT_LEMF,325121,13,2025-02-05T13:13:27
HI2_SENT_NOT_LEMF,749,1121,2025-02-05T13:13:27
HI3_SENT_NOT_LEMF,339477,332,2025-02-05T13:13:27
X2_DEDUPLICATED_CIMS,540,1649,2025-02-05T13:13:27
X3_DEDUPLICATED_CIMS,70081,480,2025-02-05T13:13:27
X2_RECEIVED_CIMS,969,4072,2025-02-05T13:13:27
X2_RECEIVED_5GC,359,763,2025-02-05T13:13:27
X3_RECEIVED_CIMS,99662,2146,2025-02-05T13:13:27
X3_RECEIVED_5GC,288006,170,2025-02-05T13:13:27
HI2_SENT,1498,1138,2025-02-05T13:13:27
HI3_SENT,664598,345,2025-02-05T13:13:27
X2_RECEIVED,1328,4835,2025-02-05T13:13:27
X3_RECEIVED,387668,2316,2025-02-05T13:13:27
X2_RECEIVED_MME_5GC,37,276,2025-02-05T13:13:27
X2_RECEIVED_SMF_5GC,295,422,2025-02-05T13:13:27
X3_RECEIVED_UPF_5GC,288006,170,2025-02-05T13:13:27
svc-catania-amf-x2-receiver-1-68fj4,6,9,2025-02-05T13:13:27
svc-catania-amf-x2-receiver-1-6d7xb,13,50,2025-02-05T13:13:27
svc-catania-amf-x2-receiver-1-l25xm,8,6,2025-02-05T13:13:27
svc-catania-cims-x2-receiver-2-ksqtz,457,1399,2025-02-05T13:13:27
svc-catania-cims-x2-receiver-2-kz9jd,262,1228,2025-02-05T13:13:27
svc-catania-cims-x2-receiver-2-mclh6,250,1445,2025-02-05T13:13:27
svc-catania-cims-x3-receiver-1-5xqh7,0,306,2025-02-05T13:13:27
svc-catania-cims-x3-receiver-1-b9vsb,53224,429,2025-02-05T13:13:27
svc-catania-cims-x3-receiver-1-d6t6x,8844,412,2025-02-05T13:13:27
svc-catania-cims-x3-receiver-1-fsxwz,5612,378,2025-02-05T13:13:27
svc-catania-cims-x3-receiver-1-n94lk,27009,422,2025-02-05T13:13:27
svc-catania-cims-x3-receiver-1-pstrw,4973,199,2025-02-05T13:13:27
svc-catania-delivery-function-0,1431228,1495,2025-02-05T13:13:27
svc-catania-handover-manager-0,70621,2129,2025-02-05T13:13:27
svc-catania-mme-x2-receiver-1-85ddf,18,190,2025-02-05T13:13:27
svc-catania-mme-x2-receiver-1-mzgcn,8,36,2025-02-05T13:13:27
svc-catania-mme-x2-receiver-1-tfmw7,11,50,2025-02-05T13:13:27
svc-catania-smf-x2-receiver-1-8rnlk,53,116,2025-02-05T13:13:27
svc-catania-smf-x2-receiver-1-9hbd8,198,190,2025-02-05T13:13:27
svc-catania-smf-x2-receiver-1-jl48r,44,116,2025-02-05T13:13:27
svc-catania-upf-x3-receiver-1-5rh6d,122429,79,2025-02-05T13:13:27
svc-catania-upf-x3-receiver-1-dhxfg,138850,60,2025-02-05T13:13:27
svc-catania-upf-x3-receiver-1-md9g2,26727,31,2025-02-05T13:13:27
HI2_PDU_BUFFERED_PER_LEMF_AFP_PRIMARY,0,1,2025-02-05T13:13:27
HI2_PDU_BUFFERED_PER_LEMF_NSWPOL_PHQ,0,1,2025-02-05T13:13:27
HI2_PDU_BUFFERED_PER_LEMF_WAPOL_PRIMARY,-1,1,2025-02-05T13:13:27
HI3_PDU_BUFFERED_PER_LEMF_ACIC_PRIMARY,0,1,2025-02-05T13:13:27
HI3_PDU_BUFFERED_PER_LEMF_AFP_PRIMARY,744951,1,2025-02-05T13:13:27
HI3_PDU_BUFFERED_PER_LEMF_LA_ACT,-1,1,2025-02-05T13:13:27
HI3_PDU_BUFFERED_PER_LEMF_NSWCC_ATLECC,-2,1,2025-02-05T13:13:27
HI3_PDU_BUFFERED_PER_LEMF_NSWLECC_PRIMARY,-2017,1,2025-02-05T13:13:27
HI3_PDU_BUFFERED_PER_LEMF_NSWPOL_PHQ,-1707,1,2025-02-05T13:13:27
HI3_PDU_BUFFERED_PER_LEMF_NSWPOL_SPC,26777,1,2025-02-05T13:13:27
HI3_PDU_BUFFERED_PER_LEMF_SAPOL_PRIMARY,-928,1,2025-02-05T13:13:27
HI3_PDU_BUFFERED_PER_LEMF_WAPOL_PRIMARY,-1940,1,2025-02-05T13:13:27
HI2_PDU_SENT_PER_LEMF_ACIC_PRIMARY,13,1,2025-02-05T13:13:27
